dominant_hex_1,dominant_hex_2,dominant_hex_3,dominant_pct_1,dominant_pct_2,dominant_pct_3,avg_hue01,avg_saturation,avg_value,std_value,colorfulness,warm_ratio,uri,engagement,engagement_rate,log_engagement_rate,performance_label_log
#B9B9AF,#413221,#79593E,0.3246,0.2796,0.2376,0.1401868730911819,0.3035759345491586,0.5305913725490197,0.21103448243722422,59.152540230622115,0.712,media/other/18005202119701873.jpg,42.0,0.042,0.04114194333117518,Medium
#C2C7C3,#AEADA1,#9C8769,0.514,0.1484,0.1252,0.2942507510018955,0.11386122745307578,0.6347780392156863,0.2277604615766161,59.39516688715056,0.2808,media/other/18067352005700577.jpg,37.0,0.037,0.03633192924739028,Low
#CABFBD,#131513,#BD9B89,0.3812,0.2348,0.2114,0.19179227728877013,0.24313388067814767,0.574875294117647,0.28894952495230947,71.35395366247342,0.7976,media/other/18045234064965601.jpg,26.0,0.026,0.025667746748577788,Low
#B2CDD9,#87C0EB,#A0816D,0.3056,0.248,0.233,0.430978214484966,0.30364365241839986,0.7116470588235294,0.24283197469733975,58.33933666504145,0.2454,media/other/17850460545325482.jpg,57.0,0.057,0.055434706888100586,Medium
#B29A8F,#9C857D,#836C65,0.3512,0.2956,0.152,0.08918429810539001,0.2454295837873845,0.5474635294117648,0.18928996001397302,45.37584996606028,0.9962,media/other/18365546479137722.jpg,48.0,0.048,0.046883585898850416,Medium
#8EB5D1,#3E5E6B,#1B2C31,0.3588,0.216,0.1978,0.48820530401646317,0.38143363726046464,0.575606274509804,0.23848971886209677,57.52653493357172,0.1056,media/other/17873021922248056.jpg,43.0,0.043,0.042101176018635396,Medium
#16100E,#DBB894,#B37E59,0.3594,0.3298,0.1376,0.11414821540678413,0.34775535494068044,0.5330847058823529,0.3664529225054213,82.13793328051712,0.9562,media/other/18099787519433485.jpg,24.0,0.024,0.02387276441155621,Low
#57512D,#C99F7F,#8E764F,0.2408,0.2294,0.2014,0.18189120352912008,0.4612758724064506,0.5358721568627451,0.2637695297652912,64.34961471123572,0.6142,media/other/18017275094400400.jpg,23.0,0.023,0.02387276441155621,Low
#4C4036,#28251C,#756053,0.3634,0.3144,0.1794,0.14851783070141222,0.2703406012945175,0.3679866666666667,0.23950949171891397,60.94139194940242,0.7716,media/other/18341377786181689.jpg,48.0,0.048,0.046883585898850416,Medium
#0F211B,#644328,#A56538,0.44,0.2582,0.1958,0.23256665315809724,0.6313292787756994,0.3860541176470588,0.2768678897916716,53.710783032804706,0.5692,media/other/17871385497248217.jpg,32.0,0.032,0.03149866705937099,Low
#332E2B,#B5ADA3,#968B7E,0.2236,0.2174,0.1968,0.19211989798840168,0.1376568933497647,0.5494,0.24007046226308448,60.66798958566384,0.8366,media/other/18312324601165370.jpg,71.0,0.071,0.06859279146561172,Medium
#0D0C0A,#693D21,#BBB3B2,0.2548,0.2186,0.211,0.1263724615547505,0.35583263709141455,0.45389882352941185,0.25887478893358,65.68612429341414,0.92,media/other/18251880559277711.jpg,71.0,0.071,0.06859279146561172,Medium
#0A0A0B,#6D6E6B,#949491,0.535,0.1384,0.1322,0.2713695634920635,0.09556624632173621,0.2595725490196078,0.2573001191430626,65.3415129359969,0.2756,media/other/18286463515244411.jpg,23.0,0.023,0.02387276441155621,Low
#A67252,#C09077,#BBAAA9,0.272,0.2276,0.2022,0.20075824831751482,0.44079152751108774,0.6257686274509804,0.1563812098652632,43.90687881206492,1.0,media/other/18029355590200854.jpg,51.0,0.051,0.04974209189481407,Medium
#3E291A,#5F4533,#836751,0.3672,0.2958,0.1718,0.07478175740512516,0.45327803995703486,0.422035294117647,0.20538750012035814,50.47483298399103,0.999,media/other/18079126801582368.jpg,33.0,0.033,0.032467190137501496,Low
#B78975,#A27357,#89583D,0.258,0.2536,0.1838,0.061950685355821815,0.5146476736196641,0.520235294117647,0.20842629252474212,45.08993648814498,0.9942,media/other/17950685771861085.jpg,28.0,0.028,0.027615167032973367,Low
#191A26,#0C0E13,#865C44,0.3802,0.292,0.1552,0.4185280407137727,0.4444054844372784,0.23288313725490198,0.17391334158139704,34.79725374721042,0.385,media/other/18333891850197642.jpg,27.0,0.027,0.026641930946421175,Low
#201E20,#B27556,#D29A7B,0.372,0.2418,0.2288,0.20161240496306254,0.47559990828493,0.48616784313725486,0.2836791528257639,56.59214470814859,0.7592,media/other/18001081853702049.jpg,34.0,0.034,0.03343477608623739,Low
#402818,#BE886B,#9C684A,0.3684,0.1776,0.1768,0.0629346974492899,0.52004166967953,0.5184635294117647,0.2356314723001395,50.74134782105792,1.0,media/other/18469879474004412.jpg,31.0,0.031,0.03052920503482287,Low
#BA8970,#D7AB97,#633E28,0.2454,0.229,0.2086,0.08579295714051947,0.448143957623701,0.585124705882353,0.2380926914045644,54.10629290600779,0.967,media/other/18043384040174169.jpg,30.0,0.03,0.0295588022415444,Low
#060606,#0D0C0D,#5B4530,0.6426,0.3374,0.012,0.27056884090882044,0.10583319672172865,0.045847058823529414,0.07207232035798437,16.066955808871658,0.561,media/other/18058889671885159.jpg,52.0,0.052,0.050693114315518116,Medium
#0B0D0C,#926954,#A5877C,0.4194,0.2444,0.1636,0.22672633292638505,0.3662744658011596,0.3329372549019608,0.25793415821307436,53.60735013059068,0.5856,media/other/18250104154279552.jpg,33.0,0.033,0.032467190137501496,Low
#603F2F,#BFBDB0,#8F7161,0.2412,0.2286,0.201,0.11048837456504916,0.344252139527312,0.5303686274509805,0.18959995782212474,54.80802312094051,0.9192,media/other/17888564025135715.jpg,44.0,0.044,0.04305948946044697,Medium
#090D0B,#764F31,#8C6849,0.3284,0.221,0.1768,0.18447951335309018,0.42524988795635493,0.36422039215686275,0.2434224789246641,57.73698764832718,0.6966,media/other/18038243330249716.jpg,37.0,0.037,0.03633192924739028,Low
#16110E,#46362D,#726258,0.3984,0.2154,0.18,0.10732253375258054,0.27489147627238014,0.3608549019607843,0.3097318773516069,76.81099635138595,0.8082,media/other/18473653444051754.jpg,53.0,0.053,0.05164323315183845,Medium
#917964,#A38E7E,#504B2C,0.3256,0.214,0.1774,0.10517132225084083,0.3873064657520033,0.4864101960784314,0.14722307182368216,37.28187571392675,0.885,media/other/18069261775628727.jpg,89.0,0.089,0.08525984395082342,High
#504744,#8D6859,#B19D8D,0.3528,0.2072,0.1836,0.28077539036734234,0.213719112715308,0.5226290196078431,0.22858450758164628,54.96209079481304,0.6184,media/other/18079880008560210.jpg,63.0,0.063,0.06109509935981088,Medium
#C9C6CD,#512515,#BA7B53,0.3024,0.268,0.1536,0.2749121374400235,0.4270931697432208,0.628521568627451,0.21582618175394816,65.60740182196902,0.6598,media/other/17859710583283432.jpg,48.0,0.048,0.046883585898850416,Medium
#020101,#7B4D32,#432111,0.9366,0.0212,0.019,0.12215833598140063,0.3055327110553688,0.04060156862745098,0.13177460913064407,25.180107043649368,0.7546,media/other/18013357607430719.jpg,37.0,0.037,0.03633192924739028,Low
#0D0503,#472813,#F5D2A2,0.3926,0.177,0.17,0.11323243628437792,0.5768577984591879,0.40029882352941176,0.3557503799714443,76.49648573224141,0.9882,media/other/17844205446360682.jpg,23.0,0.023,0.02387276441155621,Low
#C88D6B,#1B0F08,#884E33,0.2648,0.2034,0.186,0.06780389462432054,0.5665295116036612,0.5046705882352941,0.25847385526627087,50.654836802982096,0.9644,media/other/17957279600842240.jpg,46.0,0.046,0.044973365642731154,Medium
#C98D69,#181C1B,#778AA2,0.2434,0.2206,0.2062,0.32167808116532526,0.3609619968533478,0.5696792156862744,0.2912988550820062,66.98924134491524,0.467,media/other/18011725850450382.jpg,23.0,0.023,0.02387276441155621,Low
#26140C,#C5C8D1,#D8A384,0.2918,0.208,0.1922,0.1711991132217288,0.45305972364550307,0.5390078431372549,0.30198517831183497,73.88932616198967,0.7938,media/other/18027292796435260.jpg,59.0,0.059,0.05732506661926941,Medium
#383511,#684218,#8C6633,0.8706,0.0532,0.0376,0.14748072059874176,0.6858122810566442,0.26931686274509803,0.1377538881772797,28.91093470149435,0.6472,media/other/18112532017425835.jpg,42.0,0.042,0.04114194333117518,Medium
#4A3B30,#151414,#35271E,0.3194,0.2976,0.2934,0.17000617728919748,0.32866199603545465,0.22395529411764706,0.11571642053482199,27.350033266412016,0.7676,media/other/18016486802342025.jpg,53.0,0.053,0.05164323315183845,Medium
