uri,creation_timestamp,title,top_creation_timestamp,top_title,dubbing_info,media_variants,product_tags,media_metadata.camera_metadata.has_camera_metadata,cross_post_source.source_app,creation_date,creation_month,top_creation_date,likes,comments,reach,impressions,saves,shares,profile_visits,follows,followers_count,engagement,engagement_rate,hour,weekday,performance_label,engagement_rate_w,log_engagement_rate,performance_label_log
media/other/18069261775628727.jpg,2024-11-22 21:00:57+07:00,Caterpillar shadow.,,,,,,False,FB,2024-11-22,2024-11,,88.0,1.0,975.0,1074.0,6.0,1.0,29.0,0.0,1000,89.0,0.089,21,Friday,Quantile 0.75,0.089,0.08525984395082342,High
media/other/17947111085860729.jpg,2024-11-03 21:00:43+07:00,The Kiss.,,,,,,False,FB,2024-11-03,2024-11,,89.0,4.0,1218.0,1354.0,4.0,0.0,24.0,0.0,1000,93.0,0.093,21,Sunday,Quantile 0.75,0.093,0.08892620919440151,High
media/other/17928717605848607.jpg,2024-10-25 21:00:52+07:00,Everything we do is in the name of love.,,,,,,False,FB,2024-10-25,2024-10,,254.0,18.0,2570.0,2848.0,6.0,2.0,111.0,0.0,1000,272.0,0.272,21,Friday,Quantile 0.75,0.272,0.24059046491793043,High
media/other/18357843769187639.jpg,2024-10-15 21:00:49+07:00,Namesake.,,,,,,False,FB,2024-10-15,2024-10,,167.0,9.0,1410.0,1548.0,1.0,0.0,32.0,0.0,1000,176.0,0.176,21,Tuesday,Quantile 0.75,0.176,0.16211884947643518,High
media/other/18439507759069649.jpg,2024-10-13 21:00:41+07:00,Dumbstruck.,,,,,,False,FB,2024-10-13,2024-10,,76.0,2.0,1185.0,1327.0,7.0,1.0,19.0,1.0,1000,78.0,0.078,21,Sunday,Quantile 0.75,0.078,0.07510747248680541,High
media/other/18046652818977170.jpg,2024-10-11 21:00:57+07:00,Royal Color.,,,,,,False,FB,2024-10-11,2024-10,,81.0,1.0,1053.0,1170.0,2.0,2.0,22.0,5.0,1000,82.0,0.082,21,Friday,Quantile 0.75,0.082,0.07881118042428978,High
media/other/18042295397293158.jpg,2024-10-06 21:00:56+07:00,Teasing perception.,,,,,,False,FB,2024-10-06,2024-10,,93.0,2.0,990.0,1064.0,6.0,1.0,11.0,0.0,1000,95.0,0.095,21,Sunday,Quantile 0.75,0.095,0.09075436326846414,High
media/other/17856666741266562.jpg,2024-09-28 21:00:39+07:00,"Carina, Carina â¦ â¦. â¦. â¦.",,,,,,False,FB,2024-09-28,2024-09,,157.0,7.0,1588.0,1764.0,6.0,2.0,44.0,0.0,1000,164.0,0.164,21,Saturday,Quantile 0.75,0.164,0.1518623493092461,High
media/other/18022755476417665.jpg,2024-09-27 21:00:46+07:00,Clairvoyant consumer.,,,,,,False,FB,2024-09-27,2024-09,,98.0,0.0,1505.0,1644.0,10.0,5.0,39.0,2.0,1000,98.0,0.098,21,Friday,Quantile 0.75,0.098,0.0934903430873389,High
media/other/17889103545095709.jpg,2024-09-24 13:54:59+07:00,Devotional rapture.,,,,,,False,FB,2024-09-24,2024-09,,302.0,5.0,2921.0,3156.0,29.0,8.0,122.0,0.0,1000,307.0,0.307,13,Tuesday,Quantile 0.75,0.307,0.2677344346420849,High
media/other/18326422351145349.jpg,2024-09-16 21:01:19+07:00,Muffled sounds.,,,,,,False,FB,2024-09-16,2024-09,,79.0,3.0,1392.0,1534.0,3.0,0.0,17.0,0.0,1000,82.0,0.082,21,Monday,Quantile 0.75,0.082,0.07881118042428978,High
media/other/18106327948420268.jpg,2024-09-07 21:00:48+07:00,Playing dress down.,,,,,,False,FB,2024-09-07,2024-09,,202.0,7.0,1815.0,2047.0,5.0,2.0,38.0,0.0,1000,209.0,0.209,21,Saturday,Quantile 0.75,0.209,0.18979357163265562,High
media/other/18075787819477816.jpg,2024-08-23 21:00:50+07:00,Assorted peaks.,,,,,,False,FB,2024-08-23,2024-08,,76.0,1.0,1115.0,1198.0,9.0,2.0,10.0,0.0,1000,77.0,0.077,21,Friday,Quantile 0.75,0.077,0.07417939817425151,High
media/other/18055332136778544.jpg,2024-08-21 21:00:49+07:00,Cannon balls.,,,,,,False,FB,2024-08-21,2024-08,,200.0,7.0,2038.0,2170.0,11.0,1.0,30.0,0.0,1000,207.0,0.207,21,Wednesday,Quantile 0.75,0.207,0.18813794211539445,High
media/other/18195823267293456.jpg,2024-08-16 21:00:56+07:00,Three Graces.,,,,,,False,FB,2024-08-16,2024-08,,118.0,7.0,1632.0,1750.0,4.0,1.0,31.0,0.0,1000,125.0,0.125,21,Friday,Quantile 0.75,0.125,0.11778303565638346,High
media/other/18065167399597365.jpg,2024-08-07 19:30:49+07:00,Cloud Gazing.,,,,,,False,FB,2024-08-07,2024-08,,75.0,4.0,1424.0,1559.0,2.0,1.0,15.0,0.0,1000,79.0,0.079,19,Wednesday,Quantile 0.75,0.079,0.07603468627599762,High
media/other/18019324949158419.jpg,2024-08-01 19:30:35+07:00,The Scream.,,,,,,False,FB,2024-08-01,2024-08,,79.0,0.0,1041.0,1118.0,9.0,1.0,52.0,4.0,1000,79.0,0.079,19,Thursday,Quantile 0.75,0.079,0.07603468627599762,High
media/other/18008398001611283.jpg,2024-07-10 07:30:29+07:00,A Point of Intersection.,,,,,,False,FB,2024-07-10,2024-07,,132.0,1.0,1885.0,2074.0,8.0,1.0,55.0,0.0,1000,133.0,0.133,7,Wednesday,Quantile 0.75,0.133,0.12486898204586927,High
media/other/18013553804224632.jpg,2024-07-09 19:30:42+07:00,Sunset with golden waves breaking.,,,,,,False,FB,2024-07-09,2024-07,,83.0,5.0,1064.0,1161.0,9.0,3.0,15.0,2.0,1000,88.0,0.088,19,Tuesday,Quantile 0.75,0.088,0.08434114843375087,High
media/other/17936217308853227.jpg,2024-07-06 09:00:52+07:00,Topography of a tango.,,,,,,False,FB,2024-07-06,2024-07,,464.0,4.0,22855.0,32764.0,16.0,7.0,350.0,7.0,1000,468.0,0.468,9,Saturday,Quantile 0.75,0.31711999999999985,0.27544753478343825,High
media/other/18450965923058024.jpg,2024-07-05 07:30:33+07:00,The Chosen One.,,,,,,False,FB,2024-07-05,2024-07,,312.0,11.0,16793.0,31709.0,78.0,9.0,1095.0,146.0,1000,323.0,0.323,7,Friday,Quantile 0.75,0.31711999999999985,0.27544753478343825,High
media/other/18040563178900075.jpg,2024-07-04 19:30:30+07:00,"____, can I post this?",,,,,,False,FB,2024-07-04,2024-07,,274.0,7.0,2670.0,3028.0,24.0,5.0,132.0,0.0,1000,281.0,0.281,19,Thursday,Quantile 0.75,0.281,0.24764102291459722,High
media/other/17884489788065286.jpg,2024-07-03 11:01:01+07:00,Legions and legions.,,,,,"[{'product_name': '18K Venus de Milo', 'merchant_name': 'carinahardy.studio', 'product_id': 25268551402758953, 'x': 0.404, 'y': 0.80733333333333}, {'product_name': '18K Woman of Willendorf', 'merchant_name': 'carinahardy.studio', 'product_id': 7664276020272521, 'x': 0.572, 'y': 0.31866666666667}, {'product_name': '18K Birth of Venus', 'merchant_name': 'carinahardy.studio', 'product_id': 7359377807442457, 'x': 0.4, 'y': 0.53133333333333}, {'product_name': ""18K Botticelli's Three Graces"", 'merchant_name': 'carinahardy.studio', 'product_id': 7267125360043586, 'x': 0.62933333333333, 'y': 0.67733333333333}]",False,FB,2024-07-03,2024-07,,76.0,3.0,947.0,1056.0,18.0,3.0,12.0,1.0,1000,79.0,0.079,11,Wednesday,Quantile 0.75,0.079,0.07603468627599762,High
media/other/18105765676403756.jpg,2024-06-29 12:00:42+07:00,Sweat rivulets.,,,,,,False,FB,2024-06-29,2024-06,,85.0,0.0,1294.0,1403.0,5.0,3.0,22.0,0.0,1000,85.0,0.085,12,Saturday,Quantile 0.75,0.085,0.08157998699242289,High
